/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
,TARA_20160908T0406Z_N_I-SRF_DOLPHIN-CARBOY (OA044-I04-S00) * LATITUDE START: -27.403133 * LONGITUDE START: -109.323817 * LATITUDE END: -27.410217 * LONGITUDE END: -109.318983 * DATE/TIME START: 2016-09-08T04:06:00 * DATE/TIME END: 2016-09-08T04:11:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160912T1456Z_D_I-SRF_DOLPHIN-CARBOY (OA048-I05-S00) * LATITUDE START: -24.733850 * LONGITUDE START: -124.411700 * LATITUDE END: -24.730733 * LONGITUDE END: -124.434183 * DATE/TIME START: 2016-09-12T14:56:00 * DATE/TIME END: 2016-09-12T15:06:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160914T2212Z_D_S-SRF_ZODIAC-PUMP (OA000-I05-S02) * LATITUDE START: -24.696867 * LONGITUDE START: -124.794483 * LATITUDE END: -24.696867 * LONGITUDE END: -124.794483 * DATE/TIME START: 2016-09-14T22:12:00 * DATE/TIME END: 2016-09-14T22:56:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160917T2135Z_D_I-SRF_DOLPHIN-CARBOY (OA050-I05-S00) * LATITUDE START: -24.453300 * LONGITUDE START: -125.464100 * LATITUDE END: -24.448600 * LONGITUDE END: -125.487267 * DATE/TIME START: 2016-09-17T21:35:00 * DATE/TIME END: 2016-09-17T21:56:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160921T0519Z_N_I-SRF_DOLPHIN-CARBOY (OA054-I06-S00) * LATITUDE START: -23.424533 * LONGITUDE START: -134.742750 * LATITUDE END: -23.418250 * LONGITUDE END: -134.806767 * DATE/TIME START: 2016-09-21T05:19:00 * DATE/TIME END: 2016-09-21T05:53:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20160923T1734Z_D_C-COL_SCUBA-CORER (OA000-I06-S02) * LATITUDE START: -23.165113 * LONGITUDE START: -134.847980 * LATITUDE END: -23.165113 * LONGITUDE END: -134.847980 * DATE/TIME START: 2016-09-23T17:34:00 * DATE/TIME END: 2016-09-23T17:34:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161001T1627Z_D_O-SRF_DOLPHIN-CARBOY (OA058-I00-S00) * LATITUDE START: -18.742267 * LONGITUDE START: -146.601017 * LATITUDE END: -18.735567 * LONGITUDE END: -146.628700 * DATE/TIME START: 2016-10-01T16:27:00 * DATE/TIME END: 2016-10-01T16:41:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161106T1906Z_D_C-CSW-C010_SCUBA-PUMP (OA000-I07-S01) * LATITUDE START: -17.482567 * LONGITUDE START: -149.886467 * LATITUDE END: -17.482567 * LONGITUDE END: -149.886467 * DATE/TIME START: 2016-11-06T19:06:00 * DATE/TIME END: 2016-11-06T19:19:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161107T0110Z_D_S-SRF_ZODIAC-PUMP (OA000-I07-S01) * LATITUDE START: -17.482567 * LONGITUDE START: -149.886467 * LATITUDE END: -17.482567 * LONGITUDE END: -149.886467 * DATE/TIME START: 2016-11-07T01:10:00 * DATE/TIME END: 2016-11-07T01:23:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161107T2012Z_D_S-SRF_ZODIAC-PUMP (OA000-I07-S02) * LATITUDE START: -17.518433 * LONGITUDE START: -149.924000 * LATITUDE END: -17.518433 * LONGITUDE END: -149.924000 * DATE/TIME START: 2016-11-07T20:12:00 * DATE/TIME END: 2016-11-07T20:30:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161108T0232Z_D_C-COL_SCUBA-CORER (OA000-I07-S04) * LATITUDE START: -17.476000 * LONGITUDE START: -149.811250 * LATITUDE END: -17.476000 * LONGITUDE END: -149.811250 * DATE/TIME START: 2016-11-08T02:32:00 * DATE/TIME END: 2016-11-08T02:55:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161108T1925Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I07-S03) * LATITUDE START: -17.489667 * LONGITUDE START: -149.755050 * LATITUDE END: -17.489667 * LONGITUDE END: -149.755050 * DATE/TIME START: 2016-11-08T19:25:00 * DATE/TIME END: 2016-11-08T19:37:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161108T1945Z_D_S-SRF_ZODIAC-PUMP (OA000-I07-S03) * LATITUDE START: -17.489667 * LONGITUDE START: -149.755050 * LATITUDE END: -17.489667 * LONGITUDE END: -149.755050 * DATE/TIME START: 2016-11-08T19:45:00 * DATE/TIME END: 2016-11-08T20:15:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161109T0226Z_D_C-COL_SCUBA-CORER (OA000-I07-S03) * LATITUDE START: -17.489667 * LONGITUDE START: -149.755050 * LATITUDE END: -17.489667 * LONGITUDE END: -149.755050 * DATE/TIME START: 2016-11-09T02:26:00 * DATE/TIME END: 2016-11-09T03:01:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161110T0116Z_D_I-SRF_DOLPHIN-CARBOY (OA060-I07-S00) * LATITUDE START: -17.675017 * LONGITUDE START: -150.192550 * LATITUDE END: -17.675600 * LONGITUDE END: -150.197117 * DATE/TIME START: 2016-11-10T01:16:00 * DATE/TIME END: 2016-11-10T01:22:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: DOLPHIN-CARBOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161114T0030Z_D_S-SRF_ZODIAC-PUMP (OA000-I08-S01) * LATITUDE START: -18.839967 * LONGITUDE START: -159.800900 * LATITUDE END: -18.839967 * LONGITUDE END: -159.800900 * DATE/TIME START: 2016-11-14T00:30:00 * DATE/TIME END: 2016-11-14T00:44:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161114T0050Z_D_C-COL_SCUBA-CORER (OA000-I08-S01) * LATITUDE START: -18.840100 * LONGITUDE START: -159.800900 * LATITUDE END: -18.840100 * LONGITUDE END: -159.800900 * DATE/TIME START: 2016-11-14T00:50:00 * DATE/TIME END: 2016-11-14T00:50:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161115T1850Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I08-S02) * LATITUDE START: -18.913967 * LONGITUDE START: -159.845100 * LATITUDE END: -18.913967 * LONGITUDE END: -159.845100 * DATE/TIME START: 2016-11-15T18:50:00 * DATE/TIME END: 2016-11-15T19:35:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161116T0006Z_D_S-SRF_ZODIAC-PUMP (OA000-I08-S02) * LATITUDE START: -18.913967 * LONGITUDE START: -159.845100 * LATITUDE END: -18.913967 * LONGITUDE END: -159.845100 * DATE/TIME START: 2016-11-16T00:06:00 * DATE/TIME END: 2016-11-16T00:15:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161116T1630Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I08-S03) * LATITUDE START: -18.867800 * LONGITUDE START: -159.818667 * LATITUDE END: -18.867800 * LONGITUDE END: -159.818667 * DATE/TIME START: 2016-11-16T16:30:00 * DATE/TIME END: 2016-11-16T17:10:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161117T0042Z_D_S-SRF_ZODIAC-PUMP (OA000-I08-S03) * LATITUDE START: -18.867800 * LONGITUDE START: -159.818667 * LATITUDE END: -18.867800 * LONGITUDE END: -159.818667 * DATE/TIME START: 2016-11-17T00:42:00 * DATE/TIME END: 2016-11-17T00:50:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161122T0313Z_D_C-COL_SCUBA-CORER (OA000-I09-S01) * LATITUDE START: -19.113433 * LONGITUDE START: -169.914233 * LATITUDE END: -19.113433 * LONGITUDE END: -169.914233 * DATE/TIME START: 2016-11-22T03:13:00 * DATE/TIME END: 2016-11-22T03:54:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161122T2010Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I09-S01) * LATITUDE START: -19.113433 * LONGITUDE START: -169.914233 * LATITUDE END: -19.113433 * LONGITUDE END: -169.914233 * DATE/TIME START: 2016-11-22T20:10:00 * DATE/TIME END: 2016-11-22T20:20:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161123T0130Z_D_S-SRF_ZODIAC-PUMP (OA000-I09-S01) * LATITUDE START: -19.113433 * LONGITUDE START: -169.914233 * LATITUDE END: -19.113433 * LONGITUDE END: -169.914233 * DATE/TIME START: 2016-11-23T01:30:00 * DATE/TIME END: 2016-11-23T01:41:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161123T1932Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I09-S02) * LATITUDE START: -18.985417 * LONGITUDE START: -169.903267 * LATITUDE END: -18.985417 * LONGITUDE END: -169.903267 * DATE/TIME START: 2016-11-23T19:32:00 * DATE/TIME END: 2016-11-23T19:40:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161124T0121Z_D_S-SRF_ZODIAC-PUMP (OA000-I09-S02) * LATITUDE START: -18.985417 * LONGITUDE START: -169.903267 * LATITUDE END: -18.985417 * LONGITUDE END: -169.903267 * DATE/TIME START: 2016-11-24T01:21:00 * DATE/TIME END: 2016-11-24T01:29:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161124T0200Z_D_C-COL_SCUBA-CORER (OA000-I09-S02) * LATITUDE START: -18.985417 * LONGITUDE START: -169.903267 * LATITUDE END: -18.985417 * LONGITUDE END: -169.903267 * DATE/TIME START: 2016-11-24T02:00:00 * DATE/TIME END: 2016-11-24T03:05:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161124T1955Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I09-S03) * LATITUDE START: -19.041817 * LONGITUDE START: -169.918500 * LATITUDE END: -19.041817 * LONGITUDE END: -169.918500 * DATE/TIME START: 2016-11-24T19:55:00 * DATE/TIME END: 2016-11-24T20:25:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161125T0234Z_D_S-SRF_ZODIAC-PUMP (OA000-I09-S03) * LATITUDE START: -19.041817 * LONGITUDE START: -169.918500 * LATITUDE END: -19.041817 * LONGITUDE END: -169.918500 * DATE/TIME START: 2016-11-25T02:34:00 * DATE/TIME END: 2016-11-25T02:55:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161129T1931Z_D_C-COL_SCUBA-CORER (OA000-I10-S05) * LATITUDE START: -13.847983 * LONGITUDE START: -172.073733 * LATITUDE END: -13.847983 * LONGITUDE END: -172.073733 * DATE/TIME START: 2016-11-29T19:31:00 * DATE/TIME END: 2016-11-29T20:16:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-CORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161130T1907Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I10-S01) * LATITUDE START: -14.017767 * LONGITUDE START: -171.842500 * LATITUDE END: -14.017767 * LONGITUDE END: -171.842500 * DATE/TIME START: 2016-11-30T19:07:00 * DATE/TIME END: 2016-11-30T19:19:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161130T2311Z_D_S-SRF_ZODIAC-PUMP (OA000-I10-S01) * LATITUDE START: -14.017767 * LONGITUDE START: -171.842500 * LATITUDE END: -14.017767 * LONGITUDE END: -171.842500 * DATE/TIME START: 2016-11-30T23:11:00 * DATE/TIME END: 2016-11-30T23:20:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161201T1843Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I10-S02) * LATITUDE START: -14.061600 * LONGITUDE START: -171.430367 * LATITUDE END: -14.061600 * LONGITUDE END: -171.430367 * DATE/TIME START: 2016-12-01T18:43:00 * DATE/TIME END: 2016-12-01T19:00:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161201T2313Z_D_S-SRF_ZODIAC-PUMP (OA000-I10-S02) * LATITUDE START: -14.061600 * LONGITUDE START: -171.430367 * LATITUDE END: -14.061600 * LONGITUDE END: -171.430367 * DATE/TIME START: 2016-12-01T23:13:00 * DATE/TIME END: 2016-12-01T23:27:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: ZODIAC-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARA_20161202T1858Z_D_C-CSW-C001_SCUBA-PUMP (OA000-I10-S03) * LATITUDE START: -13.918767 * LONGITUDE START: -171.541567 * LATITUDE END: -13.918767 * LONGITUDE END: -171.541567 * DATE/TIME START: 2016-12-02T18:58:00 * DATE/TIME END: 2016-12-02T19:07:00 * LOCATION: Pacific * CAMPAIGN: TARA_PACIFIC_2016-2018 (URI: https://fondationtaraocean.org/en/home/) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: SCUBA-PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
